Feature,Tier,In_Model_A,Encoding
UsingIP,Tier 1,Yes,"1=IP, -1=domain"
LongURL,Tier 1,Yes,"1=len>54, -1=else"
ShortURL,Tier 1,Yes,"1=shortener, -1=else"
Symbol@,Tier 1,Yes,"1=@present, -1=else"
PrefixSuffix-,Tier 1,Yes,"-1=hyphen, 1=else"
SubDomains,Tier 1,Yes,"count subdomains"
HTTPS,Tier 2,Yes,"1=HTTPS+valid, -1=else"
AnchorURL,Tier 2,Yes,"%external anchors"
LinksInScriptTags,Tier 2,Yes,"%external scripts"
RequestURL,Tier 2,Yes,"%external resources"
ServerFormHandler,Tier 2,Yes,"1=safe, 0=suspicious, -1=external"
WebsiteTraffic,Tier 3,No,"Alexa traffic rank"
AgeofDomain,Tier 3,No,"Domain age (years)"
DomainRegLen,Tier 3,No,"Registration period (years)"
GoogleIndex,Tier 3,No,"1=indexed, -1=not"
DNSRecording,Tier 3,No,"1=valid, 0=invalid"
